product_desc,revenue,qty,mass_kg,transactions,cum_revenue,cum_pct,rank,abc_class
Eskort Braai Bacon 450g,81119.84,1643.0,739.35,602,83433344.74999999,84.89128138588705,203,B
Smoked Gammon (F) P/Kg,80720.62,583.0,1080.91,194,83514065.36999999,84.97341253964333,204,B
Eskort Bacon Griller 500g,80130.88,2353.0,1176.5,771,83594196.24999999,85.05494364812473,205,B
Eskort Sliced Bacon Loaf 180g,78847.45,3863.0,695.34,1663,83673043.69999999,85.13516889960621,206,B
Eskort Creamy Pepper Sauce 500ml,77592.67,2068.0,1034.0,1329,83750636.36999999,85.21411744472556,207,B
Liver Spread 500g Combo,77179.0,1309.0,0.0,838,83827815.36999999,85.29264509126439,208,B
Eskort Chillinaise Sauce 500ml,76560.12,2041.0,1018.0,1328,83904375.49,85.3705430433282,209,B
Eskort Crumbed Pork Schnitzel 500g,76445.04,1308.0,654.0,748,83980820.53,85.44832390445322,210,B
Shoulder Bacon 5 x 1kg,75382.73999999999,131.0,655.0,7,84056203.27,85.52502390266321,211,B
Dagbreek Nuts Peanut Snack 50g,75233.68,9505.0,9505.0,2322,84131436.95,85.6015722361588,212,B
Any 4 Combo Deal - ASST Bacon,73426.15,993.0,0.0,122,84204863.10000001,85.67628145439056,213,B
Powerade Mountain Blast 500ml,73205.45,5275.0,2637.5,1922,84278068.55000001,85.75076611605134,214,B
Chief Chicken Crumbed Patties 1Kg,72844.75,842.0,842.0,258,84350913.30000001,85.82488377474361,215,B
Eskort Secret Braai Spice 300g,72655.46,2036.0,610.8,1283,84423568.76,85.89880883573166,216,B
RTE: Chicken Burger,71465.18,2347.0,1236.0,542,84495033.94000001,85.97152281744786,217,B
Clover UHT Numel 6 x 1lt,70704.68000000001,1016.0,6096.0,537,84565738.62000002,86.04346300998317,218,B
Eskort Sliced Ham & Tongue Loaf 180g,70567.1,3544.0,637.92,1614,84636305.72000001,86.11526321840866,219,B
Lekker Bekkies p/kg,70530.37,1013.0,488.11,522,84706836.09000002,86.1870260550043,220,B
RTE: Pork Trotters & Pap 500g,69112.72,2151.0,0.5,641,84775948.81000002,86.25734646920372,221,B
RTE Combo 9: 2 x Russians & Chips 200g,68813.9,2094.0,1.0,895,84844762.71000002,86.32736284174236,222,B
Eskort Deli Pork Sausage 1kg,67911.56,673.0,673.0,437,84912674.27000003,86.3964611065499,223,B
